row_id,department,type,primary_keyword,secondary_keywords,audience,priority,status,notes
1,kitesurfschool,spot-guide,kitesurfen zandmotor,"kitesurfles kijkduin, zandmotor kitespot",beginner,high,draft_ready_for_review,"Post A — kern-anker voor hele kitesurf-cluster"
2,kitesurfschool,comparison,kitesurfen kijkduin vs scheveningen,"kitesurfschool scheveningen, kitesurfles den haag",beginner,high,draft_outline,"Post B — funnel pagina"
3,kitesurfschool,how-to,kitesurfen leren als volwassene,"kitesurfles 40+, kitesurfen beginner",40+ beginner,high,ready_for_brief,"Gap in markt, weinig content gericht op oudere beginners"
4,kitesurfschool,seasonal,beste maand kitesurfen nederland,"wanneer kitesurfen beginnen, kitesurf-seizoen",beginner,medium,ready_for_brief,"Evergreen, jaarlijks publiceren"
5,kitesurfschool,spot-guide,wind zandmotor voorspelling,"windguru zandmotor, kitesurfen vandaag",all,medium,ready_for_brief,"Utility content, terugkerend verkeer"
6,kitesurfschool,how-to,wat aantrekken kitesurfen winter,"wetsuit 5mm kitesurfen, winter kitesurfen",intermediate,medium,ready_for_brief,"Lange staart, commercieel-relevant voor retail"
7,kitesurfschool,safety,kitesurfen veiligheid beginners,"kitesurf risico, eerste kitesurfles",beginner,high,ready_for_brief,"E-E-A-T anker, verwijs naar Zandmotor-post"
8,kitesurfschool,gear,beste kite beginner,"trainer kite, eerste kite kopen",beginner,low,ready_for_brief,"Gear-review, affiliate-potentieel later"
9,kitesurfschool,kids,kitesurfen vanaf welke leeftijd,"kinderen kitesurfen, kitesurfles kinderen",families,medium,ready_for_brief,"Families zijn warme doelgroep"
10,kitesurfschool,spot-guide,zandmotor bezienswaardigheden,"zandmotor wandelen, zandmotor geschiedenis",tourist,low,ready_for_brief,"SEO-magneet, niet direct lead-gen maar autoriteit"
11,beach-house,food,strandrestaurant kijkduin,"beach house restaurant, lunchen kijkduin",local/tourist,high,ready_for_brief,"Bestaande pagina op site — waarschijnlijk refresh"
12,beach-house,experience,dagje strand kijkduin,"dagje weg den haag, uitje kijkduin",families/couples,medium,ready_for_brief,"Weekend-zoekintentie"
13,beach-house,food,ontbijt aan zee den haag,"beach breakfast, ontbijt kijkduin",local,medium,ready_for_brief,"Ochtend-publiek, andere doelgroep dan diner"
14,beach-house,occasion,trouwen op het strand kijkduin,"strandhuwelijk, ja-woord strand",couples,low,ready_for_brief,"Hoge-waarde maar lage-volume zoekterm"
15,beach-house,seasonal,winter aan zee kijkduin,"winter strand restaurant, kerst aan zee",local,medium,ready_for_brief,"Seizoenscontent, tegengaan dal-periodes"
16,beach-house,food,borrelen aan zee,"apero strand, vrijmibo strand, zakelijk borrelen",local professional / b2b,high,ready_for_brief,"Zakelijk vrijmibo + after-work — prio high (M1-strategie zakelijke markt)"
17,beach-house,design,beach house interieur,"strand horeca stijl, beach house sfeer",pinterest/instagram,low,ready_for_brief,"Imago-content, shareable"
18,events,b2b,bedrijfsuitje strand kijkduin,"bedrijfsuitje den haag, teambuilding strand",HR/offices,high,ready_for_brief,"Hoge-marge doelgroep"
19,events,b2b,teambuilding kitesurfen,"actieve teambuilding, sportieve bedrijfsuitjes",HR/offices,high,ready_for_brief,"Unieke propositie"
20,events,occasion,verjaardag vieren strand,"verjaardagsfeest strand, vrijgezellenfeest strand",couples/groups,medium,ready_for_brief,"Weekend bookings, emotional intent"
21,events,occasion,kinderfeestje strand kijkduin,"kinderfeestje den haag, kinderfeest buiten",families,medium,ready_for_brief,"Families, weekend-zoekintentie"
22,events,wedding,bruiloft strand kijkduin,"strandbruiloft, huwelijk aan zee",couples,low,ready_for_brief,"Hoge-waarde, lage-volume, lange voorlooptijd"
23,events,seasonal,oud en nieuw aan zee,"oudjaar kijkduin, nieuwjaar strand",local,medium,ready_for_brief,"Seizoensspike december"
24,events,seasonal,zomerfeest organiseren,"bedrijfszomerfeest, klantenevent strand",HR/offices,high,ready_for_brief,"Plannen start in maart-april"
25,kitesurfschool,seo-cluster,kitesurfen den haag,"kitesurfschool den haag, kitesurfen kust",all,high,ready_for_brief,"Hoofd-keyword voor het hele kitesurf-cluster"
26,kitesurfschool,comparison,kitesurfen nederland vs buitenland,"kitesurfen cabarete, kitesurfen tarifa",intermediate,low,ready_for_brief,"Travel-adjacent, breed publiek"
27,kitesurfschool,gear,kite kopen tweede hands,"gebruikte kite, kite marktplaats",all,low,ready_for_brief,"Hulp-content, lage funnel-positie"
